French,English
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,earth
place,square
tué,kill
type,kind
main,hand
pardon,sorry
ensemble,together
seulement,only
guerre,war
beau,beautiful
vers,towards
mme,Mrs
prie,pray
devant,before
trouve,find
partie,part
suite,after
compris,understood
matin,morning
leurs,their
aucun,none
arrivé,come
dessus,above
chérie,dear
mettre,put
aide,assistance
étaient,were
ie,ie
perdu,lost
fin,end
sois,be
premier,first
genre,gender
aimerais,would like to
droit,right
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,big
côté,side
venu,came
loin,far
laisser,let
donner,give
jouer,to play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,die
dernière,last
donné,given
ia,IA
mari,husband
écoute,listen
enfin,finally
devrait,should
mis,put
film,film
aucune,none
fort,strong
façon,way
pays,country
prêt,ready
madame,madam
femmes,women
affaire,affair
pourrais,could
espère,hope
parti,left
h,h
boulot,gig
endroit,place
fou,mad
corps,body
hier,yesterday
dont,whose
désolée,sorry
grande,big
point,point
cinq,five
dehors,out
filles,girls
cause,cause
vivre,live
près,close
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,the one
demandé,demand
possible,possible
mains,hands
ainsi,Thus
quatre,four
nouvelle,news
années,years
plein,full
semaine,week
dites,say
croire,to believe
marche,walking
tour,round
école,school
manger,to eat
plutôt,instead
docteur,doctor
ceux,those
vérité,truth
vue,seen
arrêter,Stop
essaie,try
envie,urge
bientôt,soon
instant,moment
dernier,last
affaires,business
arriver,to arrive
demander,ask
meilleur,better
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,DR
tellement,so much
tomber,to fall
journée,daytime
voulait,wanted to
appeler,to call
bureau,desk
confiance,trust
garde,keep
attendre,expect
numéro,number
serai,will be
dur,hard
á,has
souviens,remember
o,o
voyez,see
cours,Classes
bonsoir,good evening
route,road
fera,will
prend,take
cul,ass
abord,on board
important,important
peine,sadness
croyais,believed
mot,word
devez,must
suffit,enough
minute,minute
ferme,closed
ben,ben
plaisir,pleasure
chien,dog 
jeu,Game
seigneur,lord
messieurs,gentlemen
calme,calm
voudrais,would like
heureux,happy
prenez,take
mariage,wedding
voit,sees
parents,parents
lls,lls
dedans,inside
entrer,walk in
lit,bed
parfait,perfect
fous,crazy
mlle,Ms
rentrer,to return
ait,has
musique,music
arrêtez,Stop
autant,as much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,sometimes
téléphone,telephone
retour,return
ira,will go
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,think
l,I
impossible,impossible
fête,Party
adore,adore
coeur,heart
aimes,love
ci,this
ferai,will do
président,President
doute,doubt
facile,easy
entends,hear
payer,pay
appelé,called
prison,jail
john,john
sors,go outside
café,coffee
vaut,worth
mauvais,Wrong
chéri,Dear
oublié,forgot
bras,arms
i,I
gentil,kindly
faute,mistake
équipe,crew
exactement,exactly
cœur,heart
penser,think
changer,to change
commence,begin
lieu,venue
entendre,To hear
ies,ies
roi,King
plan,plan
partout,everywhere
joue,play
cher,dear
morts,dead
rendre,to return
écrit,writing
travailler,work
malade,sick
sinon,otherwise
génial,great
regarder,to look at
veulent,want
montrer,to show
rentre,go home
travaille,work
armée,army
voulu,desired
cherche,look for
état,state
boire,to drink
sécurité,security
dès,of the
esprit,spirit
année,year
dix,ten
york,york
laissé,leave alone
bois,wood
mets,put
propre,own
soyez,be
jack,jack
essayer,try
faisait,did
tôt,early
surtout,above all
arme,armed
t,t
rêve,dream
perdre,to lose
avis,notice
semble,seems
pire,worse 
simple,simple
penses,thinking
parles,speak
paix,peace
livre,book
dormir,sleep
voyons,let's see
difficile,hard
retard,delay
allait,was going to
d,d
sujet,topic
appris,learned
ensuite,afterwards
sauf,except
maître,master
morte,dead
noir,black
or,gold
dîner,having dinner
choix,choice
serais,would be
écoute,listen
sale,dirty
étiez,have been
sûrement,surely
an,year
ordre,order
souvent,often
essayé,tried
peuvent,can
visage,face
bout,end 
changé,exchange
sérieux,serious
inquiète,worry
âge,age
photo,Photo
rue,street
tirer,pull
comprendre,to understand
face,face
semaines,weeks
marché,market
questions,Questions
honneur,honor
ciel,sky
allé,go
garder,To keep
chemin,path
grave,severe
gauche,left
petits,small
courant,running
amie,friend
nouvelles,new
avion,plane
con,stupid
content,happy
force,strength
millions,millions
oublie,forget
devoir,to have to
prochaine,next
prix,price
propos,about
bateau,boat
bouge,move
voix,voice
rouge,red
restez,Stay
celle,that
pouvais,could
personnes,people
ferais,would do
début,beginning
espèce,species
gueule,mouth
acheter,to buy
continue,keep on going
sort,spell
faim,hunger
long,long
j,J
voyage,travel
message,message
sorte,sort
reçu,received
bienvenue,welcome
idiot,idiot
certains,some
hôpital,hospital
promis,promised
devenir,become
ouvre,open
grâce,grace
sûre,safe
problèmes,problems
armes,weapons
trucs,stuff
camp,camp
allais,alla
occupe,to keep busy
devait,had to
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,Sun
salle,Hall
gagner,to win
laissez,leave
erreur,mistake
cru,believed
pars,go
bizarre,weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,room
pouvait,could
fond,bottom
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,learn
commencé,started
sauver,save
seconde,second
pensez,think
allô,hi
ailleurs,somewhere else
agent,agent
froid,cold
seras,will be
pied,foot
jolie,pretty one
revenir,come back
scène,stage
pieds,feet
n,not
devons,owe
groupe,band
carte,map 
aurai,will have
effet,effect
neuf,new
fallait,had to
monte,mounted
battre,to beat
noël,Xmas
venue,come
mots,words
tire,drawn
droite,right
libre,free
soeur,sister
situation,situation
seront,will be
faux,fake
bordel,mess
foutre,cum
lumière,light
euh,uh
incroyable,unbelievable
tue,kill
joli,attractive
connaît,know
debout,upright
colonel,colonel
cheval,horse
écoutez,Listen
george,George
joe,joe
vieille,old
entrez,Come in
intérieur,interior
coin,corner
auras,auras
gagné,won
fric,money
loi,law
absolument,absolutely
dame,lady
cool,cool
magnifique,gorgeous
dos,back
occuper,to occupy
présent,here
retrouver,to regain
réussi,successful
frank,Frank
rencontrer,to encounter
aviez,had
meilleure,best
âme,soul
prêts,loans
doucement,gently
table,table
lettre,letter
rappelle,remember
sam,sat
fut,was
risque,risk
ordres,orders
appel,call
commencer,begin
terminé,ended
agit,act
blanc,White
sœur,sister
pareil,the same
charlie,charlie
chaud,hot
finir,finish
touche,touches 
avance,advance
ignore,ignore
meurtre,murder
tranquille,calm
anniversaire,anniversary
déjeuner,lunch
disais,said
bord,edge
tom,Tom
jeunes,youth
accident,accident
parlez,speak
fasse,do
complètement,completely
déteste,hated
clair,light
marcher,walk
disait,said
mauvaise,bad
envoyé,sent
â,has
professeur,teacher
heureuse,happy
doivent,must
midi,midday
lire,read
moyen,medium
ferait,would do
commandant,commanding officer
vraie,real
sept,seven
forme,form
tombe,falls
silence,silence
sortez,get out
connaître,to know
puisse,may
cadeau,present
flics,cops
mer,sea
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,lawyer
montre,show
b,B
su,su
porter,carry
télé,TV
vivant,living
jure,sworn
disent,say
mr,MR
serez,will be
devriez,should
devenu,became
aimé,like
diable,devil
ligne,line
mission,assignment
suppose,Assumed
chacun,each
autour,around
pote,pal
grosse,big
expliquer,explain
arrivée,arrival
monter,ascend
balle,ball
selon,according
photos,Pictures
contrôle,control
prête,ready
anglais,English
sorti,got out
k,k
bons,good
disparu,faded away
tenir,hold
simplement,merely
quitter,leave
envoie,send
paul,Paul
aimer,to like
voie,way
paris,Paris
classe,class
huit,eight
offre,offer
poste,job
dangereux,dangerous
attaque,offensive
impression,impression
folle,crazy woman
michael,Michael
mange,eat
bravo,well done
arrière,back
amérique,America
suivre,follow
aille,wing
oublier,to forget
peuple,people
baiser,kiss
rencontré,meet
honte,shame
connard,asshole
trou,hole
retourner,flip
chanson,song
change,exchange
arrêté,stopped
enfer,hell 
écrire,to write
livres,books
habitude,habit
réponse,answer
david,david
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,bandaged
bob,bob
rend,renders
compagnie,company
connu,known
secours,rescue
danse,dance
met,put
vol,flight
vit,lives
conneries,bullshit
aurez,will have
imagine,conceived
boîte,box
joué,play
triste,sad
sud,south
lu,read
tel,Phone
merveilleux,marvellous
pute,whore
aie,Ouch
ressemble,looks like
coucher,to sleep
ennuis,troubles
volé,Fly
sortie,exit
devais,had to
combat,fight
bouche,stuffy
certain,certain
visite,visit
existe,exist
bête,stupid
retourne,return
approche,approach
pourtant,yet
plusieurs,various
rire,laugh
but,aim
sergent,sergeant
public,audience
système,system
présente,present
dirai,will say
faudra,will have to
écouter,to listen
hors,except
exemple,example
vendre,sale
continuer,Continue
coups,strokes
pourra,may
sympa,nice
nord,north
cuisine,kitchen
époque,era
grands,tidy
héros,hero
étrange,odd
avenir,coming
danger,danger
envoyer,send
gouvernement,government
danser,to dance
lune,moon
etre,to be=
poser,to pose
partez,set off
normal,normal
peau,skin
santé,health
ecoutez,Listen
ouvrir,open
nez,nose
secondes,seconds
amoureux,lover
dommage,shame
pleine,full
mille,thousand
banque,bank
voler,steal
clé,key
bonnes,good
paraît,appears
servir,to serve
journal,log
village,town
tient,is holding
flic,cop
salaud,bastard
juge,judge
tiré,drawn
cour,court
assis,sat
bruit,noise
terrible,terrible
prochain,next
inspecteur,inspector
liberté,freedom
blague,joke
robe,dress
crime,crime
bière,beer
tas,pile
viennent,are coming
don,Don
reine,queen
protéger,protect
seuls,only
préfère,favorite
bar,bar
dingue,crazy
vent,wind
pitié,pity
croit,believes
payé,paid
travers,through
club,club
garçons,boys
conseil,advice
mesdames,ladies
sol,floor
bonheur,happiness
rêves,dreams
centre,center
thé,tea
mêmes,same
avions,planes
mike,mike
nulle,nothing
stupide,dumb
pouvons,can
vin,wine
tante,aunt
sent,feel
fiche,form
milieu,environment
signe,sign
unis,United
appelez,call
départ,departure
inutile,useless
emmener,to take
comprenez,understand
liste,listing
gamin,kid
johnny,johnny
hey,hey
prise,socket
savent,know
différent,different
verra,will see
probablement,most likely
intérêt,interest
choisi,selected
parole,word
ennemi,enemy
vêtements,clothes
aimez,like
recherche,research
société,society
faisais,do
peter,to fart
œil,eye
soin,care
chère,Dear
tourne,turned
ià,ià
descendre,to come down
félicitations,congratulations
pose,laid
position,position
oeil,eye
vouloir,want to
mecs,guys
irai,go
spectacle,spectacle
acheté,bought
laquelle,which
rôle,role
intéresse,interested
utiliser,utilize
match,match
devient,bECOMES
quitté,quits
asseoir,Sit
environ,about
plait,beating
mur,wall
blessé,hurt
mise,putting
harry,harry
you,you
beauté,beauty
salope,slut
parie,bett
sert,serve
soldats,soldiers
films,movies
américain,American
marier,marry
entrée,hall
soldat,soldier
ouvert,open
sauter,skip
londres,London
eiie,eiie
lequel,which
lâche,cowardly
église,church
pierre,Pierre
art,art
fenêtre,window
humain,human
tort,wrong
cerveau,brain
coupable,guilty
petites,small
promets,promotion
adresse,address
prince,prince
quartier,piece
espoir,hope
conduire,conduct
auriez,would have
ridicule,ridiculous
justice,justice
rose,pink
venus,Venus
max,max
jimmy,jimmy
presse,hurry
adieu,goodbye
revient,come back
expérience,experience
présenter,to present
tombé,falls
faisons,let's do
épouser,marry
frères,brothers
veuillez,please
revenu,revenue
colère,anger
bill,bill
vis,screw
james,james
pourriez,could
jim,jim
intéressant,interesting
ouvrez,open
nature,nature
gosse,kid
taxi,Taxi
fier,proud
preuve,evidence
riche,rich
faudrait,should
base,base
fleurs,flowers
vide,empty
portes,doors
mademoiselle,miss 
formidable,tremendous
nul,bad
directeur,director
chanter,to sing
contact,contact
histoires,stories
marié,married
défense,defense
répondre,answer
excuse,excuse
responsable,responsible
deuxième,second
mary,mary
san,San
appartement,apartment
décision,decision
cinéma,movie theater
jeter,to throw
aimais,loved
cacher,to hide
glace,ice
occasion,opportunity
dents,teeth
vacances,holidays
course,race
ravi,delighted
tueur,killer
sentir,feel
courage,courage
jésus,Jesus
allée,aisle
capable,able
essayez,try
sauvé,Safe
longue,long
parmi,among
continuez,continue
paie,pay
superbe,stunning
français,French
souvenir,memory
ouest,west
dégage,clear
jambes,legs
coupe,chopped off
immédiatement,immediately
machine,machine
épouse,spouse
telle,such
marie,married
mien,mine
pius,pius
certainement,definitely
bombe,bomb
types,types
p,p
né,born
manière,way
gagne,won
prévu,intended
chier,take a dump
trouves,found
u,U
idées,ideas
touché,hit
rendu,rendering
monstre,freak
km,km
retrouve,find
ha,Ha
f,F
importance,importance
joie,joy
dérange,disturbs
arrivent,arrive
court,short
pont,bridge
foutu,fucked up
bain,bath
oubliez,forget
tourner,turn
contente,satisfied
attendais,expected
cent,hundred
enchanté,Nice To Meet You
signifie,means
américains,American
iis,iis
quitte,quits
poisson,fish
henry,Henry
ayez,have
terrain,ground
enquête,investigation
horrible,horrible
chat,cat
certaines,some
r,R
camion,truck
copine,friend
joyeux,joyful
shérif,sheriff
ramener,to bring back
descends,go down
éviter,to avoid
projet,project
and,and
dossier,case
respect,respect
excellent,excellent
envers,towards
mariée,bride
occupé,busy
lorsque,when
blanche,white
majesté,majesty
rencontre,meet
toucher,to touch
ange,angel
refuse,denied
charge,charge
billy,billy
chevaux,horses
v,V
chiens,dogs
empêcher,to prevent
dure,hard
zone,area
faits,facts
animaux,animals
meilleurs,best
plupart,mostly
emmène,take
étions,were
politique,Politics
chaussures,shoes
langue,language
mangé,eat
douleur,pain
planète,planet
offrir,to offer
règles,rules
drogue,dope
réalité,reality
bus,bus
enfoiré,Motherfucker
dirais,would say
permis,permit
vécu,lived
chapeau,hat
île,island
réunion,meeting
soient,are
contraire,opposite
tony,tony
mettez,put
nick,nick
arrivera,to arrive at
excuser,excuse
code,coded
couleur,color
rapide,fast
raconte,recount
papier,paper
discuter,discuss
opération,operation
cartes,cards
nourriture,food
entier,entire
nécessaire,necessary
frais,costs
toilettes,bathroom
spécial,special
vaisseau,vessel
action,stock
princesse,princess
magasin,store
copain,buddy
sache,beam
bu,drank
steve,steve
découvert,discovered
pain,bread
mignon,cute
taille,cut
sacré,sacred
rends,renders
eddie,Eddie
double,double
viendra,will come
imbécile,imbecile
essaye,try
champ,field
personnel,personal
client,customer
lait,milk
contrat,contract
partis,gone
sexe,sex
mienne,mine
repas,meal
mémoire,memory
destin,fate
direction,direction
dors,sleep
faite,done 
pleurer,cry
couteau,knife
malin,clever
remettre,to put back
ray,ray
témoin,witness
restes,remains
mètres,meters
trésor,treasure
gosses,kids
aiment,like
washington,Washington
habite,reside
foi,faith
puisque,since
apporté,brought
solution,solution
trouvez,Find
nouveaux,new
réfléchir,reflect
choisir,Choose
goût,taste
remercie,thanks
détruire,destroy
université,university
doux,soft
beaux,beautiful
raconter,to tell about
vitesse,speed
menti,lies
três,very
procès,court case
enceinte,pregnant
amuser,amuse
niveau,level
vus,sees
miss,miss
fermer,close
arranger,arrange
end,ending
clients,clients
rappeler,recall
Alex,Alex
failli,falling
arbre,tree
papiers,papers
Sarah,Sarah
mérite,deserved
différence,difference
travaillé,work
disons,let's say
bleu,blue
dise,say
aimait,loved
appelles,calls
espace,space
caméra,camera
censé,supposed
qu,that
piste,track
sourire,smile
courir,to run
accepter,accept
retrouvé,found
charles,Charles
jambe,leg
angleterre,England
quels,What
préparer,to prepare
marre,fed up
forces,strengths
tirez,PULL
énorme,huge
Danny,Danny
trés,very
invité,guest
rentré,go home
officier,officer
pièces,rooms
lettres,letters
file,line
programme,program
tommy,Tommy
arrêt,stop
fout,cum
balles,bullets
flingue,gun
chasse,hunt
regrette,regret
to,to
propres,clean
victime,victim
appartient,belongs
france,France
unique,unique
régler,adjust
moindre,lesser
compter,count
voitures,cars
énergie,energy
fil,thread
lycée,high school
crise,crisis
stop,stop
image,image
vérifier,check
dimanche,sunday
appareil,device
justement,exactly
richard,richard
noms,nouns
million,million
cassé,broken
enlever,to remove
clés,keys
noire,black
man,man
dépend,depends
derniers,last
doigts,fingers
réponds,answer
honnête,honest
prouver,prove
preuves,evidence
durant,during
souris,mouse
entendez,hear
lever,lift
oiseau,bird
belles,beautiful
oû,Where
apporte,brought
grandes,large
morceau,piece
bobby,bobby
bougez,move
amène,bring
interdit,prohibited
présence,presence
récupérer,retrieve
quelles,what
manqué,lack
cou,neck
venait,came
étage,stage
regard,glance
bouger,to move
finalement,ultimately
couper,to cut
urgence,emergency
perds,losers
points,points
meurt,dies
partons,Let's go
troisième,third
savons,soaps
folie,madness
ancien,ancient
chante,sung
obtenir,obtain
répète,say again
toit,roof
humains,humans
robert,Robert
jardin,garden
métier,job
poche,poached
méchant,nasty
paradis,heaven
proche,close
rejoindre,rejoin
lors,during
nombre,number
crains,fearful
règle,rule
frapper,to hit
intention,intention
succès,hit
forte,strong
gentille,gentle
campagne,country
raisons,reasons
malgré,despite
alcool,alcohol
regardé,look at
jerry,jerry
billets,tickets
fantastique,fantastic
lee,lee
théâtre,theater
vôtre,your
samedi,Saturday
pluie,rain
fermé,firm
relation,relationship
frappé,struck
restaurant,restaurant
douce,gentle
maladie,sickness
parlait,was talking
raté,missed
casse,broken
dessous,under
pourrai,could
victoire,victoire
voudrait,would like
remarqué,noticed
assurer,to assure
pleure,cry
bouteille,bottle
gare,station
carrière,career
sentiments,feelings
suivi,followed
vies,lives
fiston,son
vendu,sold
attendant,waiting
pourras,can
amoureuse,in love
mens,mens
falloir,to need
chinois,Chinese
étranger,foreign
appelait,called
assure,insure
étant,being
queue,tail
odeur,odour
enlève,remove
produit,product
meurs,die
secrets,secrets
pression,pressure
fatigué,tiredness
aies,aies
plage,beach
okay,Okay
animal,animal
frappe,struck
montagne,Mountain
coffre,chest
passage,passage
suivant,next
signal,signal
discours,speech
cents,cents
claire,clear
g,g
rivière,river
costume,suit
prendra,will take
souhaite,wish
hasard,chance
journaux,newspapers
aveugle,blind
lis,Lily
demandez,Ask
retraite,retirement
afin,in order to
vendredi,Friday
van,van
auraient,would have
obligé,obligatory
major,major
neige,snow
remercier,thank
fusil,musket
gardes,guards
faible,weak
pauvres,poor
noirs,black
gâteau,cake
cesse,stop
parfaitement,perfectly
excuses,apologies
viande,meat
ministre,minister
univers,universe
vienne,Vienna
utile,useful
demandais,asked
crétin,dumbass
gaffe,blunder
cache,hidden
disant,saying
décider,decide
dort,sleep
gaz,gas
blancs,whites
connaissance,knowledge
vouliez,wanted
jake,jake
vidéo,video
bataille,battle
vive,long -lived
anna,Anna
martin,Martin
iui,Iui
os,bone
entend,hears
jeux,games
will,will
verras,will see
date,date
échapper,escape
naissance,birth
droits,rights
assassin,assassin
attendu,expected
montez,go up
nouvel,new
pensent,think
génie,genius
sérieusement,seriously
cible,target
prépare,prepared
agir,to act
militaire,military
futur,future
attraper,to catch
bal,ball
europe,Europe
californie,California
donnez,give
cousin,cousin
vert,green
poids,weight
volonté,will
ventre,belly
accepte,accepted
amené,bring
recevoir,receive
inquiétez,worry
perd,lose
autrement,other
informations,information
titre,title
célèbre,famous
couple,couple
sexy,sexy
serons,will be
certaine,certain
parlons,let's talk
star,star
étoiles,stars
rome,Rome
los,the bone
répondu,answered
resté,rest
charmant,charming
puissant,powerful
zéro,zero
genoux,knees
mine,mine
couilles,balls
pilote,pilot
maria,Maria
style,style
ramène,brings back
voulons,want to
embrasser,embrace
amener,to bring
valeur,value
fortune,fortune
reprendre,to resume
revenez,come back
vieil,old
walter,Walter
servi,served
arrivés,arrived
lève,survey
voleur,thief
côtés,sides
chris,Chris
note,note
préféré,prefer
couché,lying
milliers,thousands
aéroport,airport
prévenir,prevent
château,castle
apparemment,apparently
gardez,Keep
privé,private
détails,details
larry,Larry
direct,direct
reposer,to rest
commande,ordered
cherchez,look
fer,iron
conduit,conduit
conscience,awareness
oreilles,ears
conversation,conversation
regardes,look
joues,play
ennemis,enemies
attendent,wait
article,article
dieux,gods
talent,talent
aise,easy
poulet,chicken
passée,past
comprend,understand
gorge,throat
feras,do
tribunal,court
découvrir,discover
agréable,pleasant
jette,throw
test,test
emmerde,foul
détruit,destroy
nerveux,nervous
saint,Holy
marrant,funny
joindre,join
sentiment,feeling
lance,spear
humaine,human
acte,deed
jane,jane
pis,worse
enculé,fucked
tuée,killed
saura,will know
doigt,finger
pourrez,can
passera,will pass
horreur,horror
comptes,accounts
dernières,latest
violence,violence
fumer,to smoke
invités,guests
parlais,gauge
job,job
salon,living room
défendre,defend
mariés,married
rock,rock
apporter,to bring
coupé,cut
repos,rest
paquet,pack
page,page
utilise,used
victimes,victims
sage,wise
aidé,assistance
intelligent,clever
ombre,shadow
vache,cow
désert,desert
forêt,forest
parfaite,perfect
tombée,fall
extérieur,outside
entré,Between
série,series
concerne,concerned
paroles,lyrics
dira,will say
it,it
champion,champion
fbi,FBI
lundi,Monday
moteur,engine
ouverte,opened
mince,thin
al,Al
russe,Russian
grandi,grown up
rappelles,recall
dormi,sleep
ordinateur,computer
in,in
angeles,Angeles
accepté,accepted
désormais,from now on
acteur,actor
membres,members
trouvée,found
pete,pete
surpris,surprised
miracle,miracle
vole,Fly
manquer,to lack
franchement,frankly
apprécie,appreciate
cigarette,cigarette
chemise,shirt
mark,mark
tente,attempted
faisant,doing
billet,ticket
reculez,retreat
moyens,means
importante,important
unité,unity
champagne,Champagne
pensait,thought
www,www
partager,to share
smith,smith
minuit,midnight
américaine,American
courses,races
puissance,Powerful
william,William
nombreux,numerous
réparer,to fix
caché,hidden
haute,high
sommeil,sleep
essence,essence
riches,rich
lac,lake
maire,mayor
mode,fashion
vingt,twenty
reviendra,will come back
pousse,growth
amusant,fun
passez,pass
services,services
doc,doc
rues,streets
of,of
risques,risks
émission,emission
leçon,lesson
annonce,announcement
plans,plans
usine,factory
louis,Louis
imaginer,to imagine
chauffeur,driver
marque,Mark
parc,Park
épée,sword
fesses,buttocks
échange,exchange
souvenirs,memories
créer,create
senti,felt
signer,sign
artiste,artist
jeté,thrown
réveiller,wake
hiver,winter
également,also
hum,hum
souffle,breath
vrais,real
arbres,trees
saute,jumped up
fuir,to run away
meme,same
battu,beaten
permission,permission
casser,to break
chicago,Chicago
allemands,Germans
utilisé,used
mentir,lie
souci,worry
é,e
coûte,cost
paye,paid
tres,very
offert,Free
sir,sir
no,no
chair,flesh
caisse,box
supplie,supplore
dégagez,release
raconté,told
andy,Andy
lunettes,eyeglasses
chouette,owl
menteur,liar
trouvera,will find
semblant,semblance
ignorais,ignorant
perdue,lost
whisky,whiskey
rentrez,come back
premiers,first
pantalon,trousers
menace,threatens
racontes,tells
douche,shower
oiseaux,birds
finie,finish
auront,will have
débarrasser,rid
membre,member
perte,loss
verrez,will see
front,forehead
lèvres,lips
mai,may
fac,college
allo,hi
connaissais,knew
gouverneur,governor
monnaie,change
chou,cabbage
achète,bought
thomas,Thomas
secrétaire,secretary
montré,show
jones,jones
écris,wrote
parlent,talk
chaise,chair
herbe,grass
créé,created
manteau,coat
chocolat,chocolate
pause,pause
côte,coast
abandonner,to abandon
policier,policeman
patient,patient
dave,dave
études,studies
ballon,ball 
mène,led
respire,breath
mouvement,movement
suicide,suicide
japonais,Japanese
accès,access
tienne,yours
laisserai,will leave
poupée,doll
innocent,innocent
allés,alleys
identité,identify
véritable,true
simon,Simon
devenue,become
totalement,totally
piège,trap
gloire,glory
pourraient,could
abri,shelter
explique,Explain
rapidement,rapidly
fonctionne,works
boy,boy
foule,crowd
pensées,thoughts
maisons,houses
fantôme,phantom
source,source
lancer,throw
suit,follows
changement,change
choc,shock
veste,jacket
attaquer,tackle
faveur,favor
oreille,ear
touchez,touch
malheureusement,Sadly
soudain,suddenly
tués,you are
bref,Short
malheur,misfortune
portable,portable
chaleur,heat
mensonge,lying
répondez,answer
heureusement,fortunately
emploi,use
lois,laws
nettoyer,to clean
attrape,caught
geste,gesture
verrai,will see
notes,notes
plat,dish
etait,was
corde,string
sacrée,sacred
cherches,looking for
siècle,century
etat,state
distance,distance
refusé,refuse
mars,march
saison,season
bel,beautiful
monté,mounted
idiote,idiot
recherches,research
alerte,alert
ennuie,bored
christ,Christ
remonte,traced back
plaisante,pleasant
city,City
bat,bat
images,images
voulaient,wanted
titres,securities
alice,Alice
